lost_date,calendar_week,year,quarter,quarter_week
2017-09-21,38,2017,summer17_break,
2017-09-22,38,2017,summer17_break,
2017-09-23,38,2017,summer17_break,
2017-09-24,38,2017,summer17_break,
2017-10-10,41,2017,f17,2.0
2017-10-11,41,2017,f17,2.0
2017-10-12,41,2017,f17,2.0
2017-10-13,41,2017,f17,2.0
2017-10-14,41,2017,f17,2.0
2017-10-15,41,2017,f17,2.0
2017-10-16,42,2017,f17,3.0
2017-10-17,42,2017,f17,3.0
2017-10-18,42,2017,f17,3.0
2017-10-19,42,2017,f17,3.0
2017-10-20,42,2017,f17,3.0
2017-10-21,42,2017,f17,3.0
2017-10-22,42,2017,f17,3.0
2017-12-20,51,2017,f17_break,
2017-12-21,51,2017,f17_break,
2018-07-02,27,2018,summer18,1.0
2018-07-03,27,2018,summer18,1.0
2018-07-04,27,2018,summer18,1.0
2018-08-02,31,2018,summer18,5.0
2018-09-01,35,2018,summer18,9.0
2018-09-02,35,2018,summer18,9.0
2018-09-03,36,2018,summer18,10.0
2018-10-02,40,2018,f18,1.0
2018-10-03,40,2018,f18,1.0
2018-10-05,40,2018,f18,1.0
2018-10-06,40,2018,f18,1.0
2018-10-07,40,2018,f18,1.0
2018-11-02,44,2018,f18,5.0
2018-11-03,44,2018,f18,5.0
2018-11-04,44,2018,f18,5.0
2018-11-06,45,2018,f18,6.0
2018-12-02,48,2018,f18,9.0
2018-12-03,49,2018,f18,10.0
2018-12-04,49,2018,f18,10.0
2018-12-05,49,2018,f18,10.0
2019-01-02,1,2019,w19,0.0
2019-01-03,1,2019,w19,0.0
2019-03-02,9,2019,w19,8.0
2019-03-03,9,2019,w19,8.0
2019-03-04,10,2019,w19,9.0
2019-03-05,10,2019,w19,9.0
2019-03-06,10,2019,w19,9.0
2019-03-07,10,2019,w19,9.0
2019-03-08,10,2019,w19,9.0
2019-03-09,10,2019,w19,9.0
2019-03-10,10,2019,w19,9.0
2019-03-11,11,2019,w19,10.0
2019-04-02,14,2019,s19,1.0
2019-04-04,14,2019,s19,1.0
2019-04-05,14,2019,s19,1.0
2019-04-06,14,2019,s19,1.0
2019-04-07,14,2019,s19,1.0
2019-04-08,15,2019,s19,2.0
2019-04-09,15,2019,s19,2.0
2019-04-10,15,2019,s19,2.0
2019-04-11,15,2019,s19,2.0
2019-04-12,15,2019,s19,2.0
2019-04-13,15,2019,s19,2.0
2019-04-14,15,2019,s19,2.0
2019-04-15,16,2019,s19,3.0
2019-04-17,16,2019,s19,3.0
2019-04-18,16,2019,s19,3.0
2019-04-19,16,2019,s19,3.0
2019-04-20,16,2019,s19,3.0
2019-04-21,16,2019,s19,3.0
2019-05-02,18,2019,s19,5.0
2019-05-03,18,2019,s19,5.0
2019-05-04,18,2019,s19,5.0
2019-05-05,18,2019,s19,5.0
2019-05-06,19,2019,s19,6.0
2019-05-07,19,2019,s19,6.0
2019-05-08,19,2019,s19,6.0
2019-05-09,19,2019,s19,6.0
2019-05-10,19,2019,s19,6.0
2019-05-11,19,2019,s19,6.0
2019-05-12,19,2019,s19,6.0
