year,calendar_week,quarter_week
2017,26,0
2017,27,1
2017,28,2
2017,29,3
2017,30,4
2017,31,5
2017,32,6
2017,33,7
2017,34,8
2017,35,9
2017,36,10
2017,37,11
2017,39,0
2017,40,1
2017,41,2
2017,42,3
2017,43,4
2017,44,5
2017,45,6
2017,46,7
2017,47,8
2017,48,9
2017,49,10
2017,50,11
2018,1,0
2018,2,1
2018,3,2
2018,4,3
2018,5,4
2018,6,5
2018,7,6
2018,8,7
2018,9,8
2018,10,9
2018,11,10
2018,12,11
2018,13,0
2018,14,1
2018,15,2
2018,16,3
2018,17,4
2018,18,5
2018,19,6
2018,20,7
2018,21,8
2018,22,9
2018,23,10
2018,24,11
2018,26,0
2018,27,1
2018,28,2
2018,29,3
2018,30,4
2018,31,5
2018,32,6
2018,33,7
2018,34,8
2018,35,9
2018,36,10
2018,37,11
2018,39,0
2018,40,1
2018,41,2
2018,42,3
2018,43,4
2018,44,5
2018,45,6
2018,46,7
2018,47,8
2018,48,9
2018,49,10
2018,50,11
2019,1,0
2019,2,1
2019,3,2
2019,4,3
2019,5,4
2019,6,5
2019,7,6
2019,8,7
2019,9,8
2019,10,9
2019,11,10
2019,12,11
2019,13,0
2019,14,1
2019,15,2
2019,16,3
2019,17,4
2019,18,5
2019,19,6
2019,20,7
2019,21,8
2019,22,9
2019,23,10
2019,24,11
