payload,unique_days,unique_DOWs,unique_weeks,last_first_seen,label,group
00014c815769ff2a99662e77a228abc50f0ab012,1,1,1,1,0.0,
000163a776a2ec254972bf18d0399ef454f5f749,35,5,10,69,0.0,
00041013af42395967f419f1a6b873f8c56ab41b,1,1,1,1,0.0,
000962d25b8d304f3547f7cf6a376cc272146226,3,3,3,26,0.0,
000ce09825714ffbf44643df35358a4a017252df,1,1,1,1,0.0,
000f6968b5d80b90196e85380e9e3fb691350126,10,2,7,42,0.0,
000fb7ca1d0413c07f33208112ea3c64f3e2496c,5,4,5,52,0.0,
0010c13c912960608e26caad78b932d380ca4ec9,8,5,6,49,0.0,
00142f3bd5cec681aaceb3e398c87aa729fe25f4,8,2,6,51,0.0,
00180db7c801d7bc75b14de10121c5a2976ed79b,5,2,5,53,0.0,
001c9a9430d1fe9088a298e42e49c38dcaca2dae,3,1,3,29,0.0,
001d04f47f3f0748c5c82b8c1ea35245a61ee982,1,1,1,1,0.0,
001e317d64d47d8e4ffbc99997620242bb4b6a29,2,1,2,15,0.0,
002033957a20595f7356cdcb9f3040d87ebbb70f,13,3,7,45,1.0,CLASS
0020ab71b6a4ff93c5fae8ad62cdf946275786d2,15,4,9,67,0.0,
002261952e915670cb38145b9ffa576aaac47e66,9,4,5,44,0.0,
0022ab89c5f365037d4814d652542609254f7454,22,4,9,58,1.0,CLASS
00239f1f526e6054889d426af08abeb7f6046d72,2,1,2,22,0.0,
002643ddcf4e13c70bc86af12280e5046bed788b,1,1,1,1,0.0,
0026f1fccf193c9f47e81f4e9232a1dc4cecfbd3,3,3,2,6,0.0,
002b8cc0fe2c2b3273f98e1ff3d98b55c0dfa1c8,10,3,6,41,0.0,
002e61d9b2eeae759337bceb80febbf6bd31d37e,4,2,4,54,0.0,
002fcf26710678b0baf034148d6202dc2e36584b,5,2,4,42,0.0,
00302b7f0069a6a4747a239801b79e9440216887,3,3,2,11,0.0,
0030dc9e27177f14820789caf182b8c0362b7bc7,5,1,5,43,0.0,
003105fd15e44901a6e1bb96db7bd54ec8be6f65,3,2,3,58,0.0,
003860bd15c70fa2e7b5fc434e13ae090b52d6bf,1,1,1,1,0.0,
0038d4bf5ff96d7a3b5d2ae930965a06f371d2e8,1,1,1,1,0.0,
0038ea11be566b9fdb8ff64477ed310d91ccaffd,7,3,7,50,0.0,
0039b6b6959c5c0c8cdc7bdd6d78bdcc1b3f735e,19,3,8,53,1.0,CLASS
003ac156eae30749ef8c10f16db5f98e4e5ddd6c,10,4,6,52,0.0,
003b4fa7badce44b2bf33941bd8fe2be460d354f,8,2,6,51,0.0,
003bf267337cfce294af74584141560a25950371,5,3,4,35,0.0,
003daab600dd833d7b3994951f3d66ca6a6bb590,2,2,2,7,0.0,
003db18dd60c510f2326aec276f73b386c77f691,27,5,10,65,1.0,CLASS
003def127eff517fec42f88cdbc69b8777f65fe6,2,2,2,57,0.0,
003fed4acbf2df0f63804a14fb6e16abbe429d92,2,2,1,2,0.0,
00460501b880c1e773415770a6010ac907287289,24,4,11,63,1.0,CLASS
00466befd8f926742b2bf1d6264d1c08e9bcaf24,5,2,5,29,0.0,
004944deef6ce7c2b4757961091546bd92757bdf,2,2,1,3,0.0,
004c7f69fe52be818f31eed3a67c60a06654faac,2,1,2,8,0.0,
004cce1f56105f1996e7869539b249d0346d2849,5,2,4,49,0.0,
004f4d2911b071608d8675578e1c1c9ebe591c45,34,5,10,60,0.0,
005272794eac018a0a037b0cbf927210e630c2b4,14,2,8,53,0.0,
0052f29550161bbd2c7331ecd0af6be4e3512919,2,2,1,3,0.0,
00535c033753ccbbdedc2f580cc9a9a9a930aadf,11,4,6,63,0.0,
0054d68bae1595845032d78c1f88d2df87cfbebd,6,1,6,51,0.0,
005588b56c3711c552f617740e31c5311b60b8cf,2,1,2,51,0.0,
0059cd3136d3b0ac10c84f3d8831899ef598f42d,1,1,1,1,0.0,
005c4f95b84d0e0b7ccafa5c4a8f8390407a5e71,1,1,1,1,0.0,
005ea43e132c46231ad70993f46aff7e597f2948,1,1,1,1,0.0,
005f9bdc709425430a6ea95e0f0c63b0cd6c0610,5,2,5,38,0.0,
0061e631c5319d4063df54be215600573f89d94f,2,2,2,7,0.0,
006718802525129e845f78f8c45cd9a27d76a275,4,1,4,36,0.0,
0068a52cd0210f33d79ad30e84f60f86d7835374,1,1,1,1,0.0,
