payload,unique_days,unique_DOWs,unique_weeks,last_first_seen,label,group
0005237421253f067a15b81eb6de0a56c0568ca9,3,2,2,13,0.0,
00086d2de1b6b0c9f538a5a28795d4f96048be72,1,1,1,1,0.0,
000962d25b8d304f3547f7cf6a376cc272146226,1,1,1,1,0.0,
000bfbf3cef6435bd0508ea3673848c59e40bfe5,3,1,3,11,0.0,
000f588c42438703c2ce3fbf790c9c73d0457454,2,1,2,11,0.0,
00135f949f28bb1227271a22c01f8b280e679b25,3,1,3,15,0.0,
0013a02a9bdb4c5541c04751d90fa1469331ef3f,1,1,1,1,0.0,
00185f200fd3b45b9b912de7f62c23d23054a3bf,2,2,2,10,0.0,
00187a20ed7398200db2ac3d83900605b60d1b78,1,1,1,1,0.0,
001c9a9430d1fe9088a298e42e49c38dcaca2dae,1,1,1,1,0.0,
002f3a00a7c05aa3d6aaad169ed4759f3da92400,1,1,1,1,0.0,
002fcf26710678b0baf034148d6202dc2e36584b,2,2,1,3,0.0,
0030dc9e27177f14820789caf182b8c0362b7bc7,2,2,2,6,0.0,
00317ce647ea00f4278e2c62f364c99dfa300dc7,2,1,2,11,0.0,
00319dc46fda38b780f80b618b6465fa39c6b255,4,2,3,11,0.0,
0034b2044589003ef7f01909b76d3949ecec8612,3,2,2,6,0.0,
0038ea11be566b9fdb8ff64477ed310d91ccaffd,1,1,1,1,0.0,
0038fd4501727fa3e3128a8b5076d58ca7d52168,3,2,2,6,0.0,
0039b6b6959c5c0c8cdc7bdd6d78bdcc1b3f735e,1,1,1,1,0.0,
003c27ad646cb9d30a5570ae55a77416b847a190,1,1,1,1,0.0,
003d3a45799673ee49f0906b4c2ffa7b8a6f4387,3,2,2,11,0.0,
003def127eff517fec42f88cdbc69b8777f65fe6,1,1,1,1,0.0,
003e3053ba1927230c5339095deb7192a2d552f3,1,1,1,1,0.0,
004e5054dd16d764ee453698f587be868b1bebba,1,1,1,1,0.0,
004ece6bc56d36087804bb345a5ca2513706d8f4,3,1,3,15,0.0,
004f060b47a6c7babb9c2bf6c34d050b88c07751,6,3,3,15,0.0,
004f4d2911b071608d8675578e1c1c9ebe591c45,4,3,2,11,0.0,
005588b56c3711c552f617740e31c5311b60b8cf,1,1,1,1,0.0,
0056a9360851fbba4ba34b09935bb62717e27933,4,3,3,9,0.0,
0057a1fe76ee8ca24f4b33763b4a753f598fa7fc,5,3,4,15,1.0,CLASS
005c4f95b84d0e0b7ccafa5c4a8f8390407a5e71,4,2,3,11,0.0,
005fdadcffede2a62a2567eb1f7be35b89af8bb7,4,2,4,15,0.0,
0062c4b35f1c97d0b14990134b70deeb794fc786,1,1,1,1,0.0,
0065f6d611186049542f2650e4d52160abd2929d,4,3,3,11,0.0,
0068e4f9601406b23ef99661e71d707b51ecc6ab,4,2,3,11,0.0,
006c9ab88ba9c54225b0a83c31b303f67c6f9f85,2,2,2,8,0.0,
007269f941f5618c20963022dd26d3e727254626,3,3,2,6,0.0,
00735fd8f6b70e7c77fe14673881ffc3e3f9a018,1,1,1,1,0.0,
0074eb46e7e28dccd32276408290bc43c7eb6958,1,1,1,1,0.0,
0077cdc30e944e631a4e9a30a84fc9547eb99c8f,1,1,1,1,0.0,
0079c6384c8c5fc85fa78d93f6fffb04a28eb898,1,1,1,1,0.0,
0081bb01ab49908ce77b23a739281334f9350127,2,2,1,3,0.0,
008ce7ab5f721e952e7a96ab1e35483f273cdee8,9,6,5,20,1.0,ISG
008da1f6317b9b6ca3731374bdc282b4366f7a73,4,2,4,16,0.0,
008ddfbd3686790f9c7769ffd269f5eaf3c56e73,2,2,1,2,0.0,
008e85bd8cfe7a420de6bf39c4b56139bb699fd3,6,4,3,13,0.0,
008fb56d04ee10806e875fe543e46f6fc2e3f4bc,1,1,1,1,0.0,
00900fe35c974f1664cdf8bd1ab6ac201891292c,2,2,2,9,0.0,
009149455378ae0b1d103e067a7bad904568b2df,2,2,2,7,0.0,
0091494a92b26105dc12229f785eb1d2775977c4,4,2,4,16,0.0,
0092766cf598f54836f3446b64457a363444c98b,2,1,2,4,0.0,
0094a5690b726639eaa4a9a09e4484fedaa67d84,2,1,2,11,0.0,
0094f23734aac8ec0e0a6fc31976ca2420caed30,3,3,2,5,0.0,
00960a91a2ce51e3b273c7d3968cffeefa7faf6b,1,1,1,1,0.0,
0096c5a71aeb24c451145d85a6ebb361c1a6148e,5,3,3,13,0.0,
009a8b37311d8e39d3ee62bc2b014c81b9af1b6b,1,1,1,1,0.0,
00a03dddf898b5b5fcba74d44130d535005a702c,3,1,3,11,0.0,
00a4465bd177b894280fe80b47aa41f12b7976bd,1,1,1,1,0.0,
00a88b8453b3bec751d6890cbc0a8c16b1c73dae,3,1,3,11,0.0,
00a9c50fd6396c4db47707e9ad28ed6e8315ab09,1,1,1,1,0.0,
00adeb29ff60498e5913b08654e61418a039b33f,1,1,1,1,0.0,
00b2cb5c74a359ee2168cc18345a5efb56d67122,1,1,1,1,0.0,
00b3b2da10f9c4a63b172758909b472e2691c666,3,3,1,4,0.0,
00b7b5c167a444ce2f931693b37ec39312884533,3,2,3,9,0.0,
00b8492d08e3f8d36db45f63916321aae51c017d,1,1,1,1,0.0,
00b97730a2da6bba7f477c6f5e24ca3e54beaf7f,2,2,2,4,0.0,
