payload,unique_days,unique_DOWs,unique_weeks,last_first_seen,label,group
00014c815769ff2a99662e77a228abc50f0ab012,4,2,4,30,0.0,
000163a776a2ec254972bf18d0399ef454f5f749,1,1,1,1,0.0,
000846a01e8ebcde6fe9ce669ffef6720e10901a,2,1,2,29,0.0,
000962d25b8d304f3547f7cf6a376cc272146226,3,1,3,43,0.0,
000a1aac6c0923e225ddfc5093cb9dd803b2c2d4,1,1,1,1,0.0,
000c40378405f412c2779dfd71b737e73a060801,2,2,2,10,0.0,
000d2263205dd591faa61ef7978b21a0d1bf32e9,1,1,1,1,0.0,
000fb7ca1d0413c07f33208112ea3c64f3e2496c,3,3,2,13,0.0,
0012896deada7d605cc4ff127943cab099fcc6e5,1,1,1,1,0.0,
0014d12f06c3b01277183a0a09a61d2016e7db47,1,1,1,1,0.0,
00187a20ed7398200db2ac3d83900605b60d1b78,6,2,4,50,0.0,
001bccfa82c6a5671053ee95f9602f436326224a,1,1,1,1,0.0,
0020ab71b6a4ff93c5fae8ad62cdf946275786d2,3,3,3,35,0.0,
00239f1f526e6054889d426af08abeb7f6046d72,3,1,3,40,0.0,
002403fe71ccb8a84d8b1e4f74d4b44acdb29705,11,3,7,58,0.0,
002732df673c46784145c64ca0a76b567b5e015e,3,2,3,37,0.0,
00281774139b3638676feda51bf714be8371e059,1,1,1,1,0.0,
002acae82de147dc2ff50941078ddb7d86701f98,1,1,1,1,0.0,
002f468e5a7f9a5a4778e2475bcb8a289be26e9b,2,1,2,26,0.0,
00317ce647ea00f4278e2c62f364c99dfa300dc7,3,2,3,47,0.0,
00319dc46fda38b780f80b618b6465fa39c6b255,1,1,1,1,0.0,
0034b2044589003ef7f01909b76d3949ecec8612,1,1,1,1,0.0,
003526cb0c07fdeb1d460304ac047f4ea5d3d343,1,1,1,1,0.0,
00355dcf8eddb4e3b351cfab15a9037ffd690fb2,1,1,1,1,0.0,
003aa8d96d254897ff8c6a8259790e2d5d1a03f7,1,1,1,1,0.0,
003e0885f89e5945c7b78bc65d7303f7c5e09797,1,1,1,1,0.0,
003e3053ba1927230c5339095deb7192a2d552f3,4,3,3,51,0.0,
00433e3c8d1491d7032e356e4b2ff9cfda73f32f,7,2,7,40,0.0,
00440682a936eea881fd6b42fc7c3f128ab3b718,3,1,3,29,0.0,
004616141c50c000f729b816d88a09ce8a21fa55,5,4,5,62,0.0,
004824810568754649106898095ee93241ac4ec5,1,1,1,1,0.0,
004bfc543860802e73a18caa340750dbba6bc0ee,2,2,2,24,0.0,
004f060b47a6c7babb9c2bf6c34d050b88c07751,5,2,4,42,0.0,
004f4d2911b071608d8675578e1c1c9ebe591c45,15,4,9,54,0.0,
0050d344093c7a21189ce96e337602a4f80f4d26,1,1,1,1,0.0,
005172e410f9e26e2942a71570d700307c560786,3,2,2,45,0.0,
0056a9360851fbba4ba34b09935bb62717e27933,1,1,1,1,0.0,
0057a1fe76ee8ca24f4b33763b4a753f598fa7fc,4,2,4,51,0.0,
005a8610f1c3f634de9f37116a75de299a72f153,2,1,2,15,0.0,
005d18adc647304afa95cede2bef56ef954549ba,1,1,1,1,0.0,
005d8defa873986103a1afb1bc16402d121e4fcb,3,2,2,14,0.0,
005fdadcffede2a62a2567eb1f7be35b89af8bb7,1,1,1,1,0.0,
0065f6d611186049542f2650e4d52160abd2929d,1,1,1,1,0.0,
006c9ab88ba9c54225b0a83c31b303f67c6f9f85,2,1,2,8,0.0,
006d5f396d992e1a8b39905467c69caf098ce220,1,1,1,1,0.0,
006f8e9ae3c959af4cc044af3d4a6968a9b3ba05,2,1,2,29,0.0,
0071277ab12e4d0043662dda5f30ea745134cba5,3,3,2,24,0.0,
0073acfc5d5d4d3ed0e4e4d40d313c7f1e9870ba,2,1,2,22,0.0,
0074eb46e7e28dccd32276408290bc43c7eb6958,1,1,1,1,0.0,
00816908c97e48d46697d1e8be9ab0e08c85bd97,1,1,1,1,0.0,
00852152a9abdd566e3bbce3270668cd697a197f,15,4,9,59,0.0,
0087bf6a16939d9c0e32c0ce8f882198363eece7,1,1,1,1,0.0,
00896f15703ec9091279eccc9af4e5aafd633e95,1,1,1,1,0.0,
008ce7ab5f721e952e7a96ab1e35483f273cdee8,16,5,9,63,0.0,
008d572bf54923e8677c9670fbd81b81a9493c2d,2,2,2,56,0.0,
008f418af4a105c136b52f15defd43e6d4acd993,2,2,2,38,0.0,
008fb56d04ee10806e875fe543e46f6fc2e3f4bc,3,2,2,49,0.0,
009149455378ae0b1d103e067a7bad904568b2df,4,2,4,36,0.0,
0091494a92b26105dc12229f785eb1d2775977c4,4,2,3,22,0.0,
0092766cf598f54836f3446b64457a363444c98b,1,1,1,1,0.0,
0094f23734aac8ec0e0a6fc31976ca2420caed30,16,5,8,49,1.0,Systems
00960a91a2ce51e3b273c7d3968cffeefa7faf6b,8,3,6,51,0.0,
0097b9821b6218a7623653243da6c379b719b38c,2,2,1,3,0.0,
00a1bcdb9230eba8af499dc29373c640c0f70a3d,2,2,2,25,0.0,
00a345796e5066cd802150ab056839d7e0082b10,1,1,1,1,0.0,
00a88b8453b3bec751d6890cbc0a8c16b1c73dae,2,2,2,6,0.0,
00ac945da7fa99c276228a346b47803eebfe18e9,4,2,3,48,0.0,
00adeb29ff60498e5913b08654e61418a039b33f,1,1,1,1,0.0,
00afcfce6b3946f6e55b27ce69d71faa85fca19e,1,1,1,1,0.0,
00b2cb5c74a359ee2168cc18345a5efb56d67122,1,1,1,1,0.0,
00b318568083a7acbb90c73780415dc953a973d1,1,1,1,1,0.0,
00b3b2da10f9c4a63b172758909b472e2691c666,7,4,5,61,0.0,
00b3ca360b64b605dbbbefffe581e75bdc6ee4f9,2,1,2,22,0.0,
00b531116ef40ac114279c69549a26d438c1f2df,1,1,1,1,0.0,
00b97730a2da6bba7f477c6f5e24ca3e54beaf7f,6,2,6,49,0.0,
00bd274d161df0d90f589fce5c7d46e6197824c4,7,3,5,41,0.0,
00bd8b892a7d9c2ff3cece49fdc59ec6420c1f06,8,2,7,54,0.0,
00bd99e2811c11dbbd64138f4ee8cf60855e6be8,10,4,7,46,0.0,
00c542f31d1fb400c4fef970a7b1450790b314fb,3,2,3,13,0.0,
00c64a31ea65e1091ff0e52b9d38dd094b58a03a,19,6,9,67,0.0,
00c67e7d33a6950a00f13f5dcd2bcc3bb2cf5e30,4,1,4,43,0.0,
00c77c4ae0c460cf88568bd76c7fed523b4815be,8,3,7,46,0.0,
00c9de277854cd63521c0e2bc8b728a1e2476343,10,2,9,63,0.0,
00c9f06f18d629bc1433eafa0e5f8287dbe587c2,4,2,4,47,0.0,
00cc20f48848b8be85c2d677c62c1942cf90f031,4,2,4,43,0.0,
00cea640ca65791a50e3d9f46323cd93cc891165,1,1,1,1,0.0,
00d2c871af0789133d6f2ae73434567f3a672840,1,1,1,1,0.0,
00d6bf6d12210aacfbfa1abd4a027c26969ae2be,5,1,5,43,0.0,
00d86e381bb0d75b94f25fa343f7fee7f08672b2,3,1,3,15,0.0,
00d9ec514888ba5d0565257f2d7a2c486ec4b0fa,2,1,2,54,0.0,
00dc69e50ba13f44c2ca8ed8bb306d9065c4939c,5,3,4,45,0.0,
00e0abbfa56457cab46d0eee985dfa14c2ddbf40,10,2,9,61,0.0,
00e15dfba5721289256f97c5c65cc116dd938b1f,3,1,3,22,0.0,
00e18f40d1764382b8471aecf8ea7248d2d39863,1,1,1,1,0.0,
00e1ca5464f6ea11d6f11406dbe1a81a0bcc8027,1,1,1,1,0.0,
00ec2f5a2bbf6b7a87a8959abeb5ae8a9d790f78,1,1,1,1,0.0,
00ed544de6d57c0225d0e771686d6578e15d1fff,14,4,8,54,0.0,
00ee0955cd90623347bc62a7b6a2c4aec554ea6e,2,1,2,15,0.0,
00f245fa27b7b9272beb14ab2ae4d937fc30e507,2,2,2,21,0.0,
00f2527aa49bc637709271e1d88099ff4d22fd37,2,1,2,15,0.0,
00f4591fc31b216b6c06eadc151f1b294863ff5a,1,1,1,1,0.0,
00f7b0bf6baf59d771e5ec6d37b0130b2e179a3a,45,6,11,68,2.0,
00f8ae93432dc0a2af3d2e8fa4a83a7fc3b165e3,1,1,1,1,0.0,
00f9202f5bf26b28cccfabcdff06fa2e98b6346c,5,2,5,35,0.0,
00fbe0c28180c0a61ffceb43de7f1c31ae35be8b,1,1,1,1,0.0,
00fbf34638852e384fde24a556002fd54f8967ac,5,2,5,56,0.0,
00ff029fbe165c1afe25c905cb54fb41a832bcc4,1,1,1,1,0.0,
0100ed4874355c241d109393b488989b32a60178,4,2,3,22,0.0,
0102534ea5d41eb20ba5dc18159d2bc0d4a8925d,1,1,1,1,0.0,
0107fc40ee70e1092eb9cd234bf490c847cec9c9,2,2,2,31,0.0,
01081e943e19e7ef17e31eb60033daa383c3f4ba,1,1,1,1,0.0,
0108a964624cb74187590496dfcac524db468b23,2,1,2,22,0.0,
010d81f1cd6c808fe94c3e9d0539553e336b0662,11,3,7,48,0.0,
010e6ba877e64c873946860c13947db3051a9301,1,1,1,1,0.0,
01111356be59c778ea64392bbfcd62b2c69e33e2,1,1,1,1,0.0,
01126981b586711bc58544a61c88e08726126ce3,1,1,1,1,0.0,
0119db2c18122a7c77bb6aeaa869cc8306ae1ef9,1,1,1,1,0.0,
011a30ab63caa51a763d4b8d8f3416e43688b7d5,6,2,6,45,0.0,
011bae7f477bcfdb34250e5d63c753f488a48553,1,1,1,1,0.0,
011c19576ec3a8cb8d361bb36f8a90ff09e58a39,1,1,1,1,0.0,
011c84065d9704e34a332266843cb4beed4adb0c,5,3,3,23,0.0,
011cb7acc28578d62221f33be6f096e317bd1b39,1,1,1,1,0.0,
011f5554100ec76d8caf5a5f9ef7a0f5141061e9,5,1,5,29,0.0,
01207a863e2eec048111eec7363e3b80c6bf9078,1,1,1,1,0.0,
01216cdc7c61a21ec376e3160e58564d6df70ac9,3,3,3,24,0.0,
0121f9e86f6b745a74931d0e0fdd2b5652ba520e,1,1,1,1,0.0,
0122e25e7828b1cdac05c8c954a0b79b804ed18d,3,2,3,43,0.0,
01249d531b0c0195966cf58821b07820c4d45b38,7,3,6,52,0.0,
0125d5db0151fa54ee72b4c14e5a5374ce7845e1,1,1,1,1,0.0,
0127b3a3b7b107036f94d7c4ff3bda76cc5bc847,4,2,4,54,0.0,
0128c234c6a605b882ab5c65125330b012ec11cf,13,2,8,63,0.0,
012cf47b74e473d69f45ddcab2014c964f99316c,1,1,1,1,0.0,
012e470ed6e8f69eb1fa47c24c599fa1564bdee1,6,4,4,28,0.0,
0134005cd5e0009ccd50e3fbc87d04e38406f7a6,10,4,6,46,0.0,
0136a459fd0374b671436027b1f8e61288211f85,1,1,1,1,0.0,
0138daf0c32551af49e025eaae49babd17f230b7,1,1,1,1,0.0,
013a6bdfdfa6d705c42dfd8c4a18027048c770e1,1,1,1,1,0.0,
013c6fe29ce0fe2aab119e8bda4eb493e87e8cb8,8,5,5,51,0.0,
013da05b5e1322dcc8356999d3a458dafe3c7c9b,3,2,3,24,0.0,
0143536237cd773853f067b49fa56887cf9c1ff7,2,2,2,9,0.0,
014666adcf5345646323e8ac094d637bb69d1c44,1,1,1,1,0.0,
014b8a174cf47b05551729bfde0b924238665440,1,1,1,1,0.0,
014baebcaffdbe342985a9cfd82ac689e222fcab,4,3,4,36,0.0,
014f88083a2713bea2e6d28043f07bf0b74c8644,1,1,1,1,0.0,
015097c2805ec26ad1e06fbf0e40c4334a277765,6,3,5,33,0.0,
0152bcb64d4797a170c4fc3e3c9c41874549d90a,2,2,2,10,0.0,
0156be3ec825f3876afbb3bb98ac0feb54055949,5,2,5,41,0.0,
01578af2c7d1306511ed66f09aaf6281719e1aea,7,3,5,61,0.0,
01586a6d91e64408752fbd381ca878a44507e5d5,1,1,1,1,0.0,
0158f0e2b44cb60b13011b1fa881c5c9ee2f18ae,7,4,4,39,0.0,
0159d85b9abbd1a279ab9d2aaccba3be7577b080,1,1,1,1,0.0,
015b53b2dc9e53bc71b575e527462feda83663da,1,1,1,1,0.0,
015bb0c2e3fea3a1e084e8f2b60ef2313ae73821,1,1,1,1,0.0,
0160036f5e9b987eb724aaaa6fafae94ac76f3ed,5,2,5,50,0.0,
016451eec9346acc4c7c542749780b08a3906c90,1,1,1,1,0.0,
01650e97769bc4f877642493d282e032f7ce42cf,4,3,3,20,0.0,
016a8cda7ccebe507d980e92a8d3a51297351743,4,3,3,26,0.0,
016f9e914bf136e42b3c1eb9377e5f43bca1a5ef,5,3,5,62,0.0,
0170da8aa02bdff2589d6f84733243ae2417818d,1,1,1,1,0.0,
01753e218574dd36ec343ceece9b85d9d449c5a9,1,1,1,1,0.0,
0179a47c8fb424d795bb93217321b08e9eca62b2,2,2,2,11,0.0,
017afb7ee50b4484a8dd1efd84b2d44c8b18c7c3,1,1,1,1,0.0,
017b470075cf4429ca0a7771b6c12ea431608d0e,3,1,3,15,0.0,
017e30b44ded14952e18068fb610441fc13dfebe,4,3,2,9,0.0,
018182bd8081d94ad436110cc5297bb180216010,1,1,1,1,0.0,
01822ecae7e7fa2f1344d77aa69c39e463de6682,1,1,1,1,0.0,
01847c0464b6641fd93dfb6cdaeb8de7ac92d2da,15,4,10,62,0.0,
018b30a736572333372bba9121252934bdfd3013,17,5,10,63,0.0,
018d6c9d63bc24a1b7852e89f4e0cd36d5f6f146,3,2,3,31,0.0,
019014784e2bddf40e29d6ddb7e3f05e3c3ca548,1,1,1,1,0.0,
019065c99162e65a5c776beaf3b00f5d8eaabba3,8,2,6,54,0.0,
0190675f9ee10e90d6034561fa4ce963cfec7739,1,1,1,1,0.0,
01925fafb1bdd71f393db344f66baf2ecb23241c,3,1,3,40,0.0,
019ac2e2403ed684547e8f3934fa2baca17dc6c4,4,2,4,59,0.0,
019bdec2cc77e23a6de4f0b35f720f9c36a9bdc2,3,1,3,26,0.0,
019d882e2a5aa58c2cb00d4ad34f2e17a17e032a,5,2,5,50,0.0,
01a06e9dbf91881dbb839a94b4eb5e84051edf9f,3,3,2,7,0.0,
01a0c248b561bdc91047de96f1b110889d9d27d4,5,1,5,36,0.0,
01a1e15835a704573dd485a648aa993b98b853e8,8,2,7,54,0.0,
01a4132e8634523b3499c3ec40a15a9c246cdd73,1,1,1,1,0.0,
01af22732f823d45fa04accb43941917498bd3a7,9,5,6,60,0.0,
01b158c94040430bcdf4fe6b49107e24a048bd24,1,1,1,1,0.0,
01b336ea7ad43068eeb25afa2debd630e0f277eb,1,1,1,1,0.0,
01b80bc6bec458eccf2132ffc0542f02295a364d,6,2,5,36,0.0,
01b8f107947e8772577b075d5899807c41a2a44b,1,1,1,1,0.0,
01b8f44a9e537c7eec38f5b9b7ec086d856c9cd8,1,1,1,1,0.0,
01b9a75b7c7c0cffc1b32f96b08a999a28e5db83,2,2,2,4,0.0,
01bb882804a0a8c2eaad6ef37b18fc94c6f7eb32,8,2,6,36,0.0,
01bd04d5c649d4781741535d60d05d18fb19c7f5,1,1,1,1,0.0,
01bdbe79467adee78be850b4bb6ed93fda849c4b,2,1,2,8,0.0,
01bde5e4243b494265ee0e7b2acaa81e4a269240,1,1,1,1,0.0,
01c2aa8ecf3af4d0a784777bf5ad1358c502beba,2,1,2,8,0.0,
01c5783bebad91b4d6ee49d279be9323c2425343,4,3,4,52,0.0,
01c682f7ba8ad3a120b452688e1e08f7d31094e0,3,3,2,16,0.0,
01c9abdf60c4516674fcd4c64cc8e4e061f51bfc,1,1,1,1,0.0,
01ca411def20bf2e3b37aeaf74ee9a6e2371b7ed,2,2,1,2,0.0,
01ca47149a937f5a0850ecd4f5fcf77be5dd53e2,34,5,10,64,1.0,MNS
01cb19dccb6a393e9b7c704f241501ee0ae8119a,1,1,1,1,0.0,
01cb2444b99c52640acfe3e4941e669ff6cc123a,1,1,1,1,0.0,
01cbfb5c9036cef5e718780cf883d30df61158e5,3,1,3,61,0.0,
01cd60a4b0ead74c53fa093b9226d7abe56d6490,3,3,2,6,0.0,
01cec9a1c281d4a417c4c2da6d4131f2b424c4bd,6,3,6,52,0.0,
01d3f0bcd5ab603bdcfb848a8ce0e382a38d2b3b,5,1,5,36,0.0,
01dd43dbc2cc0ce4ded1972a935ef8786dca883e,1,1,1,1,0.0,
01e1b1f38dba5422f284c2b75ad8a8137fcc148f,1,1,1,1,0.0,
01e3089bf59422ca010417f14f7d5a946b909cd2,6,2,5,45,0.0,
01e6a983ca3754f3593ab32c5f69ececcbc3c501,3,1,3,22,0.0,
01e8030bb0d55411bee7dad814e0220749abaf6c,7,3,6,45,0.0,
01e99d4b4cd8edfbdae949763bd4893406bfb302,7,3,6,61,0.0,
01e9c71364df1ff8d5d6a68884e21ae1300c87a9,5,2,5,56,0.0,
01ea65159d03058da56deb4aea036b5dff27a414,1,1,1,1,0.0,
01eb7ac86981c90d858e7bf9edee0054eb9b84f7,1,1,1,1,0.0,
01ef4d2c8ebd250b8ce866b767ba506349e53a70,7,2,6,56,0.0,
01f145204fc702d40744922062be6980f9327e92,1,1,1,1,0.0,
01f6e87ca1d59662e4a17844101798166a641f27,3,3,2,7,0.0,
01f7d0c37d13fe4e7d2789da369d86c119bca5b1,14,3,8,50,0.0,
01f89914f04a3ab0b75af1a06a1cda2fdfed1612,9,3,8,61,0.0,
01f8a0618a0329f54d940ad1a694fa465a102bc9,31,5,10,62,0.0,
01f9dad303efb6e26d50f2579190cab125716669,6,2,5,38,0.0,
01fbcc702c0f16fc0f9804819cd8b1054648287c,1,1,1,1,0.0,
01fc20b548b00b661da8168e13a393a7749588c3,4,2,4,43,0.0,
01fd8fead686afe4be5fedddeb61b074fa945d8a,3,2,2,22,0.0,
01fdc520156d3de0011be939c9adc5fb3edc1288,10,3,7,61,0.0,
0204fac39393bd8af767e5fd0ce6ac590fbf770a,4,1,4,33,0.0,
0206658c3c40bd595223e8443f51dd53e0bdc973,2,2,2,28,0.0,
0208b538d7b4fcbd8923f6832f9f0090a3e049dc,8,3,5,36,0.0,
020a8f1446d6daf34cb1cbc903bd0bff27589a46,2,1,2,33,0.0,
020adbc5163bab1aca2133af06bdec8a3258c622,1,1,1,1,0.0,
